
**`@when` data outside of date coverage range of parent _FRUS_ volume**

Outlier data in `@when` | Frequency | Issue | Date Entries | Volume Coverage Dates | URIs
 1952-01-04 | 6 | `@when` outside of volume date range | <ul><li>January 4, 1952</li><li>January 4, 1952</li><li>January 4, 1952</li><li>January 4, 1952</li><li>January 4, 1952—5:21 p. m.</li><li>January 4, 1952—6:17 p. m.</li></ul> | <ul><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v02/d545</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d546</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d547</li><li>https://history.state.gov/historicaldocuments/frus1951v04p2/d279</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d544</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d566</li></ul>
 1952-01-24 | 6 | `@when` outside of volume date range | <ul><li>January 24, 1952.</li><li>January 24, 1952.</li><li>January 24, 1952</li><li>January 24, 1952</li><li>January 24, 1952—midnight</li><li>January 24, 1952—1 p. m.</li></ul> | <ul><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v02/d325</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d326</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d329</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d571</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d328</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d327</li></ul>
 1941-12-13 | 5 | `@when` outside of volume date range | <ul><li>December 13, 1941</li><li>December 13, 1941</li><li>December 13, 1941</li><li>December 13, 1941—7 p.m.</li><li>December 13, 1941—9 p.m.</li></ul> | <ul><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d215</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d314</li><li>https://history.state.gov/historicaldocuments/frus1942v04/d557</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d216</li><li>https://history.state.gov/historicaldocuments/frus1942v04/d33</li></ul>
 1941-12-27 | 5 | `@when` outside of volume date range | <ul><li>December 27, 1941</li><li>December 27, 1941</li><li>December 27, 1941</li><li>December 27, 1941—2 p.m.</li><li>December 27, 1941—6 p.m.</li></ul> | <ul><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d7</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d9</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d317</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d225</li><li>https://history.state.gov/historicaldocuments/frus1942China/d531</li></ul>
 1942-01-14 | 5 | `@when` outside of volume date range | <ul><li>January14, 1942</li><li>January 14, 1942</li><li>January 14, 1942</li><li>January 14, 1942</li><li>January 14, 1942</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d110</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d121</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d144</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d246</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d258</li></ul>
 1942-06-21 | 5 | `@when` outside of volume date range | <ul><li>June 21, 1942</li><li>June 21, 1942</li><li>June 21, 1942</li><li>June 21, 1942</li><li>21 June 1942</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d270</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d296</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d297</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d298</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d299</li></ul>
 1942-06-23 | 5 | `@when` outside of volume date range | <ul><li>June 23, 1942</li><li>June 23, 1942</li><li>June 23, 1942</li><li>June 23, 1942</li><li>June 23, 1942</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d278</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d279</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d301</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d302</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d303</li></ul>
 1942-06-25 | 5 | `@when` outside of volume date range | <ul><li>June 25, 1942</li><li>25 June, 1942</li><li>June 25, 1942</li><li>June 25, 1942</li><li>June 25 [27?], 1942</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d287</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d305</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d306</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d307</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d309</li></ul>
 1942-12-31 | 5 | `@when` outside of volume date range | <ul><li>December 31, 1942</li><li>December 31, 1942—midnight.</li><li>December 31, 1942—1:30 p.m.</li><li>December 31, 1942—5 p.m.</li><li>December 31, 1942—7 p.m.</li></ul> | <ul><li>1941</li><li>1943</li><li>1943</li><li>1943</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d323</li><li>https://history.state.gov/historicaldocuments/frus1943v05/d557</li><li>https://history.state.gov/historicaldocuments/frus1943v05/d423</li><li>https://history.state.gov/historicaldocuments/frus1943v01/d453</li><li>https://history.state.gov/historicaldocuments/frus1943v04/d689</li></ul>
 1943-01-20 | 5 | `@when` outside of volume date range | <ul><li>January 20, 1943</li><li>January 20, 1943</li><li>January 20, 1943</li><li>January 20?, 1943</li><li>January 20–22? 1943</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d410</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d411</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d437</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d446</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d448</li></ul>
 1943-01-24 | 5 | `@when` outside of volume date range | <ul><li>January 24, 1943</li><li>January 24, 1943</li><li>January 24, 1943</li><li>January 24, 1943</li><li>24 January 1943</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d395</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d441</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d442</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d450</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d452</li></ul>
 1943-12-28 | 5 | `@when` outside of volume date range | <ul><li>December 28, 1943</li><li>December 28, 1943</li><li>December 28, 1943—2 p.m.</li><li>December 28, 1943—3 p.m.</li><li>December 28, 1943—6 p.m.</li></ul> | <ul><li>1944</li><li>1944</li><li>1944</li><li>1944</li><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v05/d567</li><li>https://history.state.gov/historicaldocuments/frus1944v07/d369</li><li>https://history.state.gov/historicaldocuments/frus1944v03/d111</li><li>https://history.state.gov/historicaldocuments/frus1944v06/d772</li><li>https://history.state.gov/historicaldocuments/frus1944v01/d992</li></ul>
 1944-01-03 | 5 | `@when` outside of volume date range | <ul><li>3 January 1944</li><li>January 3, 1944</li><li>January 3, 1944[1945]</li><li>January 3, 1944—9 a.m.</li><li>January 3, 1944—9 p.m.</li></ul> | <ul><li>1943</li><li>1943</li><li>1945</li><li>1943</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d537</li><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d538</li><li>https://history.state.gov/historicaldocuments/frus1945v06/d370</li><li>https://history.state.gov/historicaldocuments/frus1943v03/d473</li><li>https://history.state.gov/historicaldocuments/frus1943v04/d1012</li></ul>
 1944-12-28 | 5 | `@when` outside of volume date range | <ul><li>December 28, 1944</li><li>December 28, 1944</li><li>December 28, 1944</li><li>28 December, 1944</li><li>December 28, 1944—9 p.m.</li></ul> | <ul><li>1945</li><li>1945</li><li>1945</li><li>1945</li><li>1945</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v02/d698</li><li>https://history.state.gov/historicaldocuments/frus1945v06/d158</li><li>https://history.state.gov/historicaldocuments/frus1945v06/d368</li><li>https://history.state.gov/historicaldocuments/frus1945v06/d369</li><li>https://history.state.gov/historicaldocuments/frus1945v07/d1112</li></ul>
 1937-12-31 | 4 | `@when` outside of volume date range | <ul><li>December 31, 1937</li><li>December 31, 1937</li><li>December 31, 1937</li><li>December 31, 1937—5 p.m.</li></ul> | <ul><li>1938</li><li>1938</li><li>1938</li><li>1938</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1938v05/d370</li><li>https://history.state.gov/historicaldocuments/frus1938v05/d405</li><li>https://history.state.gov/historicaldocuments/frus1938v05/d786</li><li>https://history.state.gov/historicaldocuments/frus1938v04/d776</li></ul>
 1938-01-12 | 4 | `@when` outside of volume date range | <ul><li>January 12, 1938</li><li>January 12, 1938—1 p.m.</li><li>January 12, 1938—4 p.m.</li><li>January 12, 1938—7 p.m.</li></ul> | <ul><li>1937</li><li>1937</li><li>1937</li><li>1937</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1937v02/d407</li><li>https://history.state.gov/historicaldocuments/frus1937v02/d468</li><li>https://history.state.gov/historicaldocuments/frus1937v05/d377</li><li>https://history.state.gov/historicaldocuments/frus1937v02/d375</li></ul>
 1940-01-03 | 4 | `@when` outside of volume date range | <ul><li>January 3, 1940</li><li>January 3, 1940</li><li>January 3, 1940—11 a.m.</li><li>January 3, 1940—6 p.m.</li></ul> | <ul><li>1939</li><li>1939</li><li>1939</li><li>1939</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1939v03/d753</li><li>https://history.state.gov/historicaldocuments/frus1939v05/d466</li><li>https://history.state.gov/historicaldocuments/frus1939v04/d515</li><li>https://history.state.gov/historicaldocuments/frus1939v01/d1156</li></ul>
 1942-01-04 | 4 | `@when` outside of volume date range | <ul><li>January 4, 1942</li><li>January 4, 1942</li><li>January 4, 1942</li><li>January 4, 1942</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d95</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d199</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d237</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d238</li></ul>
 1942-12-23 | 4 | `@when` outside of volume date range | <ul><li>December 23, 1942</li><li>December 23, 1942</li><li>December 23, 1942—noon</li><li>December 23, 1942—7 p.m.</li></ul> | <ul><li>1943</li><li>1943</li><li>1943</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v01/d482</li><li>https://history.state.gov/historicaldocuments/frus1943v06/d295</li><li>https://history.state.gov/historicaldocuments/frus1943v04/d443</li><li>https://history.state.gov/historicaldocuments/frus1943v02/d284</li></ul>
 1943-01-01 | 4 | `@when` outside of volume date range | <ul><li>January 1, 1943</li><li>January 1, 1943</li><li>January 1, 1943</li><li>January 1, 1943—4 p.m.</li></ul> | <ul><li>1941</li><li>1941</li><li>1942</li><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d324</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d325</li><li>https://history.state.gov/historicaldocuments/frus1942v03/d563</li><li>https://history.state.gov/historicaldocuments/frus1942v04/d853</li></ul>
 1943-01-09 | 4 | `@when` outside of volume date range | <ul><li>January 9, 1943</li><li>January 9, 1943</li><li>January 9, 1943—5 p.m.</li><li>January 9, 1943—9 p.m.</li></ul> | <ul><li>1941</li><li>1942</li><li>1942</li><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d331</li><li>https://history.state.gov/historicaldocuments/frus1942v04/d32</li><li>https://history.state.gov/historicaldocuments/frus1942v06/d692</li><li>https://history.state.gov/historicaldocuments/frus1942v06/d364</li></ul>
 1943-12-27 | 4 | `@when` outside of volume date range | <ul><li>December 27, 1943</li><li>December 27, 1943</li><li>December 27, 1943</li><li>December 27, 1943</li></ul> | <ul><li>1944</li><li>1944</li><li>1944</li><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v01/d259</li><li>https://history.state.gov/historicaldocuments/frus1944v03/d82</li><li>https://history.state.gov/historicaldocuments/frus1944v05/d6</li><li>https://history.state.gov/historicaldocuments/frus1944v05/d234</li></ul>
 1944-01-06 | 4 | `@when` outside of volume date range | <ul><li>January 6, 1944</li><li>January 6, 1944 [1945]</li><li>January 6, 1944—11 a.m.</li><li>January 6, 1944—4 p.m.</li></ul> | <ul><li>1943</li><li>1945</li><li>1943</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d540</li><li>https://history.state.gov/historicaldocuments/frus1945v07/d129</li><li>https://history.state.gov/historicaldocuments/frus1943China/d620</li><li>https://history.state.gov/historicaldocuments/frus1943v04/d749</li></ul>
 1945-01-02 | 4 | `@when` outside of volume date range | <ul><li>January 2, 1945</li><li>January 2, 1945</li><li>January 2, 1945—7 p.m.</li><li>January 2, 1945—9 p.m.</li></ul> | <ul><li>1944</li><li>1944</li><li>1944</li><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d843</li><li>https://history.state.gov/historicaldocuments/frus1944v03/d880</li><li>https://history.state.gov/historicaldocuments/frus1944v03/d881</li><li>https://history.state.gov/historicaldocuments/frus1944v06/d197</li></ul>
 1945-01-09 | 4 | `@when` outside of volume date range | <ul><li>January 9, 1945</li><li>January 9, 1945—3 p.m.</li><li>January 9, 1945—6 p.m.</li><li>January 9, 1945—7 p.m.</li></ul> | <ul><li>1943</li><li>1944</li><li>1944</li><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d569</li><li>https://history.state.gov/historicaldocuments/frus1944v03/d888</li><li>https://history.state.gov/historicaldocuments/frus1944v03/d889</li><li>https://history.state.gov/historicaldocuments/frus1944v03/d890</li></ul>
 1945-01-11 | 4 | `@when` outside of volume date range | <ul><li>January 11, 1945</li><li>January 11, 1945</li><li>January 11, 1945—6 p.m.</li><li>January 11, 1945—7 p.m.</li></ul> | <ul><li>1944</li><li>1944</li><li>1944</li><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v01/d339</li><li>https://history.state.gov/historicaldocuments/frus1944v05/d296</li><li>https://history.state.gov/historicaldocuments/frus1944v03/d892</li><li>https://history.state.gov/historicaldocuments/frus1944v02/d157</li></ul>
 1945-12-21 | 4 | `@when` outside of volume date range | <ul><li>December 21, 1945</li><li>December 21, 1945</li><li>December 21, 1945</li><li>December 21, 1945</li></ul> | <ul><li>1946</li><li>1946</li><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v01/d2</li><li>https://history.state.gov/historicaldocuments/frus1946v01/d3</li><li>https://history.state.gov/historicaldocuments/frus1946v01/d4</li><li>https://history.state.gov/historicaldocuments/frus1946v11/d485</li></ul>
 1945-12-26 | 4 | `@when` outside of volume date range | <ul><li>December26, 1945</li><li>December26, 1945</li><li>December 26, 1945</li><li>26 December 1945</li></ul> | <ul><li>1946</li><li>1946</li><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v01/d300</li><li>https://history.state.gov/historicaldocuments/frus1946v01/d301</li><li>https://history.state.gov/historicaldocuments/frus1946v08/d580</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d784</li></ul>
 1945-12-27 | 4 | `@when` outside of volume date range | <ul><li>December27, 1945</li><li>December 27, 1945</li><li>December 27, 1945</li><li>December 27, 1945</li></ul> | <ul><li>1946</li><li>1946</li><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v01/d302</li><li>https://history.state.gov/historicaldocuments/frus1946v05/d698</li><li>https://history.state.gov/historicaldocuments/frus1946v07/d206</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d785</li></ul>
 1947-01-03 | 4 | `@when` outside of volume date range | <ul><li>January 3, 1947</li><li>3 January 1947</li><li>3 January 1947</li><li>January 3, 1947—8 p.m.</li></ul> | <ul><li>1946</li><li>1946</li><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d360</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d361</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d362</li><li>https://history.state.gov/historicaldocuments/frus1946v07/d205</li></ul>
 1947-12-11 | 4 | `@when` outside of volume date range | <ul><li>11 December 1947.</li><li>December 11, 1947—midnight.</li><li>December 11, 1947—3 p. m.</li><li>December 11, 1947—10 p. m.</li></ul> | <ul><li>1948</li><li>1948</li><li>1948</li><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d454</li><li>https://history.state.gov/historicaldocuments/frus1948v03/d457</li><li>https://history.state.gov/historicaldocuments/frus1948v03/d455</li><li>https://history.state.gov/historicaldocuments/frus1948v03/d456</li></ul>
